projekt_id,projekt_nazev,stav,rozpocet,datum_zahajeni,datum_ukonceni,typ
PROJ001,Pre-emptive didactic moratorium,Aktivní,3630595.2,2023-08-08,2025-03-12,Údržba
PROJ002,De-engineered uniform orchestration,Aktivní,3933866.15,2024-08-13,2026-01-09,Investiční
PROJ003,Re-engineered methodical encryption,Plánovaný,3311964.61,2023-07-14,2023-11-17,R&D
PROJ004,Phased incremental core,Aktivní,4325991.9,2024-03-09,2025-06-02,Interní
PROJ005,Cross-platform bandwidth-monitored protocol,Dokončený,537168.46,2024-11-20,2026-10-20,Investiční
PROJ006,Optional heuristic interface,Zrušený,4315279.05,2025-01-15,2026-01-27,Zákaznický
PROJ007,Open-source maximized superstructure,Pozastavený,2270637.06,2023-07-16,2024-02-25,Investiční
PROJ008,Business-focused systematic projection,Aktivní,1286541.92,2023-07-07,2024-05-17,Interní
PROJ009,Stand-alone bandwidth-monitored approach,Plánovaný,300412.23,2024-03-29,2025-11-12,Údržba
PROJ010,Open-architected upward-trending Graphical User In,Zrušený,4251043.89,2023-01-16,2023-05-21,Zákaznický
PROJ011,Customer-focused dynamic core,Aktivní,1108049.13,2024-02-21,2025-08-01,Investiční
PROJ012,Ergonomic national knowledge user,Aktivní,60669.12,2023-03-02,2023-09-16,Investiční
PROJ013,Devolved interactive contingency,Aktivní,2143887.06,2023-09-29,2025-02-05,Údržba
PROJ014,Grass-roots maximized encryption,Aktivní,989994.44,2024-11-08,2026-04-20,Zákaznický
PROJ015,Compatible leadingedge workforce,Dokončený,2733866.25,2023-03-01,2024-11-13,R&D
PROJ016,Reactive bandwidth-monitored application,Pozastavený,2410103.16,2023-02-28,2023-05-20,Údržba
PROJ017,Streamlined needs-based access,Pozastavený,446551.75,2023-06-11,2023-09-07,Zákaznický
PROJ018,Cross-group web-enabled encoding,Plánovaný,3392302.14,2023-03-12,2024-12-10,Zákaznický
PROJ019,Down-sized incremental matrix,Pozastavený,1268765.97,2024-02-18,2024-07-19,Údržba
PROJ020,Polarized didactic initiative,Plánovaný,2125163.33,2023-02-10,2024-12-05,Údržba
PROJ021,Centralized composite implementation,Aktivní,4676795.98,2024-08-01,2026-02-17,Zákaznický
PROJ022,Adaptive human-resource firmware,Aktivní,1364791.84,2024-11-16,2025-11-02,Zákaznický
PROJ023,Persevering executive interface,Aktivní,2313261.63,2024-11-18,2026-10-09,Interní
PROJ024,Total upward-trending toolset,Pozastavený,4992349.48,2023-01-10,2024-05-23,Interní
PROJ025,Realigned stable structure,Aktivní,2554129.24,2023-03-17,2024-10-17,Zákaznický
PROJ026,Pre-emptive coherent core,Aktivní,1879159.09,2023-12-24,2024-04-02,Zákaznický
PROJ027,Implemented didactic approach,Dokončený,1547459.86,2024-03-24,2025-10-31,Údržba
PROJ028,Reduced user-facing moratorium,Zrušený,2795281.3,2023-01-09,2024-12-22,Interní
PROJ029,Centralized value-added functionalities,Plánovaný,4454077.9,2023-05-18,2024-03-13,Údržba
PROJ030,Centralized actuating paradigm,Aktivní,3043907.64,2023-06-09,2024-04-12,R&D
PROJ031,Polarized motivating moderator,Zrušený,1356720.31,2023-07-28,2025-06-06,Investiční
PROJ032,Diverse analyzing migration,Plánovaný,3189708.01,2023-09-15,2023-12-06,R&D
PROJ033,Configurable contextually-based architecture,Aktivní,3867040.15,2023-02-15,2023-03-20,R&D
PROJ034,Right-sized asymmetric service-desk,Pozastavený,3543053.86,2023-06-15,2024-10-09,Údržba
PROJ035,Front-line impactful capability,Plánovaný,4728002.15,2023-01-10,2023-06-03,Zákaznický
PROJ036,Re-contextualized dynamic paradigm,Zrušený,1877619.12,2024-07-12,2024-09-16,Údržba
PROJ037,Right-sized 6thgeneration process improvement,Aktivní,257052.85,2023-06-01,2024-09-13,R&D
PROJ038,Configurable intangible protocol,Aktivní,3426230.11,2023-02-10,2024-03-12,Interní
PROJ039,Reduced non-volatile model,Zrušený,2061568.08,2023-12-29,2025-08-23,Údržba
PROJ040,Intuitive empowering database,Aktivní,4329798.2,2025-02-06,2025-08-13,Zákaznický
PROJ041,Synchronized transitional functionalities,Aktivní,3695994.14,2024-02-27,2024-04-22,R&D
PROJ042,Front-line empowering infrastructure,Zrušený,3688534.82,2024-02-26,2026-02-10,Zákaznický
PROJ043,De-engineered static project,Zrušený,3521327.03,2023-10-01,2024-04-11,Investiční
PROJ044,Innovative logistical functionalities,Aktivní,1037885.51,2023-02-09,2024-07-04,Investiční
PROJ045,Versatile asynchronous access,Zrušený,3986960.22,2023-12-25,2024-12-01,Zákaznický
PROJ046,Persevering regional open system,Dokončený,1005992.45,2023-08-17,2023-10-10,R&D
PROJ047,Cross-platform asynchronous monitoring,Zrušený,1431668.71,2023-10-13,2024-01-22,Údržba
PROJ048,Extended motivating firmware,Zrušený,2704267.88,2024-02-14,2026-02-08,Interní
PROJ049,De-engineered grid-enabled architecture,Aktivní,2923919.18,2023-04-29,2024-02-20,R&D
PROJ050,Fully-configurable holistic forecast,Pozastavený,2201090.6,2023-02-09,2023-06-30,R&D
PROJ051,Diverse leadingedge moratorium,Pozastavený,622446.63,2024-03-22,2026-01-01,Údržba
PROJ052,Triple-buffered exuding pricing structure,Plánovaný,3558487.15,2023-07-14,2024-04-29,Interní
PROJ053,Streamlined multi-tasking access,Dokončený,3611178.5,2024-06-16,2026-01-18,Zákaznický
PROJ054,Synchronized neutral framework,Plánovaný,4746928.71,2024-01-08,2025-04-23,R&D
PROJ055,Switchable bi-directional challenge,Dokončený,4247675.63,2024-09-30,2025-09-16,R&D
PROJ056,Fundamental bifurcated benchmark,Dokončený,2071544.9,2024-06-03,2025-05-15,Investiční
PROJ057,User-friendly neutral collaboration,Pozastavený,680074.61,2024-12-14,2025-11-11,Investiční
PROJ058,Future-proofed executive portal,Dokončený,3753266.07,2024-11-11,2026-01-03,Zákaznický
PROJ059,Expanded transitional Graphical User Interface,Aktivní,2060072.09,2024-09-22,2026-05-27,Interní
PROJ060,Expanded systemic productivity,Aktivní,2177946.34,2023-11-08,2024-09-26,Údržba
PROJ061,Fundamental motivating matrix,Aktivní,2351691.54,2024-09-13,2026-08-14,Investiční
PROJ062,Function-based actuating array,Pozastavený,2392271.62,2024-11-22,2025-07-28,Zákaznický
PROJ063,Sharable interactive focus group,Aktivní,2601487.45,2024-11-05,2025-03-01,Údržba
PROJ064,Balanced 24hour groupware,Zrušený,4762398.33,2023-12-10,2024-04-13,Zákaznický
PROJ065,Visionary clear-thinking productivity,Aktivní,4042486.33,2024-11-19,2025-11-01,Zákaznický
PROJ066,Fundamental cohesive support,Aktivní,4920483.31,2023-01-26,2023-04-13,Údržba
PROJ067,Organic neutral strategy,Aktivní,2101483.0,2025-02-25,2025-06-09,Údržba
PROJ068,Optimized next generation access,Aktivní,2028281.67,2023-07-19,2024-09-14,Zákaznický
PROJ069,Customizable asynchronous solution,Zrušený,4309180.8,2024-11-02,2024-12-07,Interní
PROJ070,Distributed needs-based alliance,Aktivní,920639.07,2025-03-08,2026-06-16,Údržba
PROJ071,Multi-layered optimal neural-net,Pozastavený,1283531.48,2024-04-20,2024-07-10,Interní
PROJ072,Digitized intermediate capacity,Zrušený,2349984.03,2024-04-12,2024-09-25,Údržba
PROJ073,Balanced fault-tolerant hierarchy,Aktivní,4752696.06,2024-07-26,2026-04-26,Investiční
PROJ074,Balanced heuristic database,Aktivní,4161317.39,2024-09-19,2026-03-19,Údržba
PROJ075,Synergized dynamic secured line,Dokončený,4314399.8,2024-04-01,2024-10-10,Investiční
PROJ076,Customer-focused heuristic time-frame,Zrušený,3206424.11,2023-09-23,2024-07-02,Údržba
PROJ077,Realigned incremental process improvement,Aktivní,1409257.36,2024-05-11,2026-03-13,Interní
PROJ078,User-friendly coherent encoding,Aktivní,1394989.78,2024-12-31,2025-11-18,R&D
PROJ079,Diverse context-sensitive installation,Aktivní,796611.76,2024-07-07,2024-10-27,Investiční
PROJ080,Assimilated context-sensitive support,Dokončený,1109066.74,2024-12-11,2025-06-15,Investiční
PROJ081,Managed zero tolerance installation,Pozastavený,2356325.3,2024-02-22,2025-02-24,Interní
PROJ082,Synchronized user-facing workforce,Aktivní,4528950.47,2023-07-31,2024-11-02,Údržba
PROJ083,Fully-configurable encompassing complexity,Zrušený,4409250.53,2024-12-13,2025-02-01,Údržba
PROJ084,Total bi-directional implementation,Plánovaný,4716571.2,2024-01-25,2025-06-26,R&D
PROJ085,Automated methodical definition,Zrušený,4463625.63,2025-02-10,2026-04-15,Investiční
PROJ086,Exclusive logistical hardware,Zrušený,3036100.32,2024-07-05,2026-02-14,Zákaznický
PROJ087,Integrated discrete definition,Aktivní,2207388.08,2024-05-14,2025-01-23,Interní
PROJ088,Assimilated stable core,Dokončený,3411752.33,2024-02-03,2025-02-11,Investiční
PROJ089,Open-architected full-range focus group,Zrušený,2363581.24,2025-01-11,2025-07-29,Zákaznický
PROJ090,Cloned zero administration focus group,Plánovaný,4539297.87,2024-09-29,2026-04-28,Údržba
PROJ091,Monitored secondary migration,Plánovaný,465539.94,2024-07-31,2026-07-09,Investiční
PROJ092,Open-architected systematic monitoring,Aktivní,298908.94,2023-05-19,2024-10-02,Investiční
PROJ093,Managed 4thgeneration budgetary management,Aktivní,1667886.73,2023-12-02,2024-08-04,Investiční
PROJ094,Fundamental context-sensitive paradigm,Aktivní,4182809.03,2023-10-12,2025-01-15,Investiční
PROJ095,Fundamental 5thgeneration benchmark,Plánovaný,4999543.75,2023-01-20,2024-08-24,R&D
PROJ096,Right-sized intermediate hardware,Plánovaný,3917103.6,2023-08-18,2025-07-13,Interní
PROJ097,Upgradable zero tolerance functionalities,Aktivní,1036835.38,2025-02-11,2025-04-13,Interní
PROJ098,Optional real-time migration,Aktivní,674793.83,2024-09-28,2025-04-02,Interní
PROJ099,Customizable human-resource orchestration,Aktivní,3512351.61,2024-07-31,2025-04-10,R&D
PROJ100,Ergonomic eco-centric analyzer,Pozastavený,4820486.98,2023-06-21,2025-04-01,Interní
